,firsts,seconds,cvs,dampratio,temp,codNames,mode,sd_mode,cvs_mode,max_ages
1,1.000307303,0.668871281,NA,1.495515402,8.4,Northsea,5,1.760399324,0.352079865,10
2,1.001882005,0.749312685,NA,1.33706799,7.13,Coas,6,1.806644475,0.301107412,10
3,0.999913266,0.614611341,NA,1.626903376,7,W_Baltic,5,2.205911155,0.441182231,11
4,0.999819929,0.592696165,NA,1.686901298,7.4,Faroe,4,2.216749703,0.554187426,10
5,0.995307789,0.845039049,NA,1.17782461,4,NE_Arctic,9,1.659866752,0.184429639,12
6,0.99580443,0.484034961,NA,2.057298565,11.9,Celtic,3,1.642102384,0.547367461,10
7,0.99661826,0.81879461,NA,1.217177359,5.8,Iceland,8,2.338737489,0.292342186,14
8,0.999408383,0.619224623,NA,1.613967446,6.5,Kat,4,1.803236861,0.450809215,8
9,0.999298618,0.525833301,NA,1.900409534,9.57,W_Scotland,3,1.787736524,0.595912175,7
10,0.999009208,0.812772523,NA,1.229137527,1,NGulf,8,2.178625654,0.272328207,13
11,1.000933002,0.567105643,NA,1.764985087,8,GB,4,2.102556897,0.525639224,10
12,1.000516658,0.58204414,NA,1.718970417,8,GM,4,2.433367225,0.608341806,11
13,0.999506697,0.811488574,NA,1.231695341,1.75,cod3NO,8,1.753146552,0.219143319,12
14,0.996510903,0.734146985,NA,1.357372465,3.5,cod3M,7,1.265941041,0.18084872,8
15,0.999513233,0.842212682,NA,1.18677058,0,cod2J3KL,8,3.614889878,0.451861235,17
16,1.00285734,0.800592898,NA,1.252643314,2.5,cod3Ps,8,2.424608048,0.303076006,14
17,NA,NA,NA,NA,10.56,Irish,NA,NA,NA,6
